real_name,id,description,image,location,color,scientific_name,order,family,general_name,habitat,food,nesting,behavior,conservation,aab_description
Canada Warbler,canwar,"Spiffy warbler found in boggy areas. Blue-gray above and yellow below with distinctive yellow spectacles and necklace of black streaks. Legs are pale orange. Females show fainter necklace than males. Typically found in low vegetation, especially wet woods and thickets. Nests on the ground. Feeds on insects. One of the longest-distance migrant warblers; winters in South America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64913361/900,"NA,SA",Yellow,Cardellina canadensis,Passeriformes,Parulidae,Warblers,Forests,Insects,Ground,Foliage Gleaner,Declining,"A colorful, energetic warbler of northern forests, the Canada Warbler spends little time on its breeding grounds. It is one of the last warblers to arrive north in the spring, and one of the first to leave in the fall to return to its South American wintering grounds. This steely gray and yellow songbird is sometimes called the ""necklaced warbler"" thanks to the bold black necklace that it wears across its chest. Look for them in mixed conifer and deciduous forests with a shrubby understory."
Canyon Wren,canwre,"Subtly beautiful wren found in picturesque canyonlands and rocky outcroppings of the western U.S. and Mexico. Exceptional songster most often located by rich cascading song, or harsh call notes. Rich orangey-brown body with tiny black-and-white spots, bright white throat, and thin decurved bill. Most similar to Rock Wren; note more contrasting white throat. Almost always on the ground or cliffs, running up and down rocks, repeatedly disappearing from view only to suddenly pop up atop a lookout. Feeds on insects. Nests in crevice or under ledge on cliff.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68036991/900,NA,Brown,Catherpes mexicanus,Passeriformes,Troglodytidae,Wrens,Deserts,Insects,Cliff,Ground Forager,Low Concern,"A tiny bird with a big voice, the Canyon Wren sings a gorgeous series of sweet, cascading whistles that echo off the rocky walls of its canyon habitat. Canyon Wrens are incredibly agile birds that hunt for insects mostly among rocks, scaling cliff faces and using their long, slender bills to probe into crevices with surgical precision. They are a rich cinnamon-brown, with a salt-and-pepper pattern on the head and a neat white throat patch."
Carolina Wren,carwre,"Bold white eyebrow. Warm brown above, buffy-orange underparts. Slightly decurved bill. Tail is about as long as body and often cocked up. Usually in hiding in dense vegetation, tangled understory, or brush piles in forested areas. Nests in peculiar places around backyards, such as tucked in a drainpipe or grill. Occasionally feeds on suet or mealworms at feeding stations. Listen for loud, ringing song and variety of calls. Unlike House Wren they are not migratory and stay nearby their breeding grounds year-round.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59867271/900,NA,Brown,Thryothorus ludovicianus,Passeriformes,Troglodytidae,Wrens,Open Woodlands,Insects,Cavity,Ground Forager,Low Concern,"In summer it can seem that every patch of woods in the eastern United States rings with the rolling song of the Carolina Wren. This shy bird can be hard to see, but it delivers an amazing number of decibels for its size. Follow its teakettle-teakettle! and other piercing exclamations through backyard or forest, and you may be rewarded with glimpses of this bird's rich cinnamon plumage, white eyebrow stripe, and long, upward-cocked tail. This hardy bird has been wintering farther and farther north in recent decades."
Cassin's Finch,casfin,"Males have red concentrated on crown (brighter than throat) with pinkish wash coming into breast; flanks are pale with only a few fine streaks. Females are similar to Purple Finch but with more diffuse face pattern and finer streaks on flanks. Both sexes tend to show more peaked head and longer bill than House and Purple Finch. Found in mountainous regions, mainly in coniferous forests, drifting to lower elevations in winter. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67283591/900,NA,Red,Haemorhous cassinii,Passeriformes,Fringillidae,Finches,Forests,Seeds,Tree,Ground Forager,Declining,"Slightly less well known than its lookalikes (House Finch and Purple Finch), the Cassin’s Finch is the characteristic rosy-tinged finch of the mountains of western North America. Small flocks twitter and forage in the tall evergreen forests and in groves of quaking aspen. Along with range and habitat, a good way to sort them out is to learn the Cassin’s Finch’s peaked head shape and thick, straight-edged bill. Males sing a rollicking song that includes mimicked calls of other birds."
Caspian Tern,caster1,"Largest tern in the world. Thick, bright-red bill is distinctive. Note solid black cap in summer, which turns to black streaks in winter. Feeds by cruising over lakes, rivers, estuaries, and reservoirs looking for fish, then plunging to catch them. Smooth wingbeats, more gull-like than choppy flight of small-bodied terns. Very vocal, giving loud raucous screams.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/169902221/900,"NA,EU,AF,AS,OC,SA",White,Hydroprogne caspia,Charadriiformes,Laridae,Terns,Shorelines,Fish,Ground,Aerial Dive,Low Concern,"The regal Caspian Tern is the largest tern in the world, easily recognized by its brilliant red fish-knife of a bill and deep, raspy call. Found all over the world, the Caspian favors both freshwater and saltwater environments. It feeds mostly on fish, captured in nimble aerial dives. On the nesting grounds, paired Caspian Terns perform splendid displays in the air, rising up to great heights in tandem. They migrate nocturnally, and in autumn their rolling calls are sometimes heard overhead during the night."
Cassin's Vireo,casvir,"Fairly dull vireo, grayish overall, but with dull yellow flanks and greenish back. Note white spectacles contrasting with gray head and two whitish wingbars. Relatively thick bill and slower movements separates this vireo from other small songbirds. Breeds in dry forests and mixed coniferous forests, especially in mountainous areas.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65761191/900,NA,Yellow,Vireo cassinii,Passeriformes,Vireonidae,Vireos,Forests,Insects,Tree,Foliage Gleaner,Low Concern,"A subtly handsome songbird with a bold white eyering, Cassin’s Vireo sings a loud, burry song while foraging slowly through the lower and middle parts of trees. It breeds in dry, open forests of far western North America. Outside the breeding season, this species often joins mixed-species flocks of woodland birds. Until 1997, Cassin’s Vireo was lumped with Blue-headed and Plumbeous Vireos into a single species called Solitary Vireo. Cassin’s is less colorful than Blue-headed but richer in olive tones than the mostly gray Plumbeous."
Cedar Waxwing,cedwax,"This medium-sized passerine is brown overall with a pale yellow wash on the belly. It is named for the waxy red tips on some of the wing feathers. Also look for the yellow-tipped tail, sleek crest, short bill, and black mask and throat bordered by white. Thin, high-pitched call is distinctive. Usually in flocks in open woods and edges of woodlands. Often perches in tops of leafless trees. Shifts diet from insects to primarily berries in the fall and winter.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59874471/900,NA,Brown,Bombycilla cedrorum,Passeriformes,Bombycillidae,Waxwings,Open Woodlands,Fruit,Tree,Foliage Gleaner,Low Concern,"A treat to find in your binocular viewfield, the Cedar Waxwing is a silky, shiny collection of brown, gray, and lemon-yellow, accented with a subdued crest, rakish black mask, and brilliant-red wax droplets on the wing feathers. In fall these birds gather by the hundreds to eat berries, filling the air with their high, thin, whistles. In summer you’re as likely to find them flitting about over rivers in pursuit of flying insects, where they show off dazzling aeronautics for a forest bird."
Chipping Sparrow,chispa,"Small, slender sparrow with short bill and long, narrow tail. Plain grayish breast with rusty cap in breeding season. Common in suburban areas, particularly golf courses, parking lots and areas with short trees in grassy areas. In winter, beware similar Clay-colored, American Tree, and Brewer's Sparrows, but look for gray rump and dark eyeline in front of eye. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64972021/900,NA,Brown,Spizella passerina,Passeriformes,Passerellidae,Sparrows,Open Woodlands,Seeds,Shrub,Ground Forager,Low Concern,"A crisp, pretty sparrow whose bright rufous cap both provides a splash of color and makes adults fairly easy to identify. Chipping Sparrows are common across North America wherever trees are interspersed with grassy openings. Their loud, trilling songs are one of the most common sounds of spring woodlands and suburbs."
Chimney Swift,chiswi,"The ""flying cigar"" with a blunt head, squared-off tail, and long, sickle-shaped wings. Body is dark gray with a slightly paler throat. Flies all day long with ridiculously fast, snappy wingbeats. Nests and roosts in chimneys. Often seen in small groups, twittering and cruising around town in search of insects. The only swift in the eastern U.S.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66113881/900,"NA,SA,EU",Brown,Chaetura pelagica,Caprimulgiformes,Apodidae,Swifts,Towns,Insects,Building,Aerial Forager,Declining,"A bird best identified by silhouette, the smudge-gray Chimney Swift nimbly maneuvers over rooftops, fields, and rivers to catch insects. Its tiny body, curving wings, and stiff, shallow wingbeats give it a flight style as distinctive as its fluid, chattering call. This enigmatic little bird spends almost its entire life airborne. When it lands, it can’t perch—it clings to vertical walls inside chimneys or in hollow trees or caves. This species has suffered sharp declines as chimneys fall into disuse across the continent."
Chestnut-sided Warbler,chswar,"Breeding birds show yellow cap, black triangle under eye, streaked back and reddish-brown sides. Looks remarkably different in fall with distinctive lime green above and gray below with bold white eyering. Breeds mainly in secondary forests, especially areas with large shrubs and young trees. Does well in disturbed habitats, particularly power line cuts and areas that have been logged. Forages for insects. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64803561/900,"NA,SA",Yellow,Setophaga pensylvanica,Passeriformes,Parulidae,Warblers,Open Woodlands,Insects,Shrub,Foliage Gleaner,Low Concern,"The crisply plumaged Chestnut-sided Warbler is not your average warbler of the deep forest. These slender, yellow-capped and chestnut-flanked songsters thrive in young, regrowing forests, thickets, and other disturbed areas. Look for them foraging among the fine branches of slender saplings, tail cocked, and listen for males singing an excitable pleased, pleased, pleased to meetcha! In fall, this bird molts into lime-green and grayish white plumage with a distinctive white eyering, and heads to thickets, shade-coffee plantations, and second growth forest in Central America."
Chukar,chukar,"Quail-like bird, often in small flocks on dry rocky slopes with sparse grass and brush. Male and female similar. Pale brownish-gray overall with warmer orange belly and undertail. Distinct black stripes on sides. Red bill and eyering. Pale throat is bordered by black. Usually seen scurrying around on the ground, but males perch conspicuously when singing, often on large rocks. Song is a series of scratchy notes; sounds like it's saying its name with emphasis on the second syllable: ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39398791/900,"EU,AS",Brown,Alectoris chukar,Galliformes,Phasianidae,Game Birds,Scrub,Seeds,Ground,Ground Forager,Low Concern,"Introduced from Eurasia, the sandy-brown Chukar is a game bird that lives in high desert plains of western North America, as well as in Hawaii and New Zealand. Its namesake call echoes across dry rocky slopes. It runs and scampers up steep terrain with the agility and speed of a mountain goat, prompting hunters to nickname it the ""devil bird"" for the brutal chase it gives. Dark bars on the sides and a band across the head and neck adorn this red-billed game bird."
Clark's Nutcracker,clanut,"This relative of jays and crows is pale gray with a whitish face and black wings. Sexes are similar; juveniles are browner than adults. Found almost exclusively in coniferous forests at high elevations; feeds on pine cone seeds and stashes thousands of them in various places to eat later in the winter. Often found in flocks. Sometimes visits feeders. Similar in color to Canada Jay, but especially note bill shape: long, slender, and sharply pointed.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70580641/900,NA,Gray,Nucifraga columbiana,Passeriformes,Corvidae,Nutcrackers,Forests,Omnivore,Tree,Foliage Gleaner,Low Concern,"High in the mountains of the West, gray-and-black Clark’s Nutcrackers swoop among wizened pine trees, flashing white in the tail and wing. They use their dagger-like bills to rip into pine cones and pull out large seeds, which they stash in a pouch under their tongue and then carry away to bury for the winter. Each birds buries tens of thousands of seeds each summer and remembers the locations of most of them. Seeds they don’t retrieve play a crucial role in growing new pine forests."
Cliff Swallow,cliswa,"Compact swallow with a short tail. Looks slightly rounder winged than other swallows. Nests under bridges, overpasses, and culverts. Often sticks out among a flock of other swallows with its pale orangey rump. Cave Swallow also has a pale rump, but note Cliff's darker throat, white forehead, and different range.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68122541/900,"NA,SA",Black,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae,Swallows,Lakes and Ponds,Insects,Cliff,Aerial Forager,Low Concern,"Busy flocks of Cliff Swallows often swarm around bridges and overpasses in summer, offering passers-by a chance to admire avian architecture and family life at once. Clusters of their intricate mud nests cling to vertical walls, and when a Cliff Swallow is home you can see its bright forehead glowing from the dim entrance. These common, sociable swallows are nearly always found in large groups, whether they’re chasing insects high above the ground, preening on perches, or dipping into a river for a bath."
Common Goldeneye,comgol,"Large duck; about the size of a Mallard. Breeding males have a black head with circular white patch at the base of the bill, black back and white body. Females and first-year males have gray body and chocolate brown head. Bright yellow eyes. Found along both coasts of the U.S. and Canada and the Great Lakes in winter months, feeding on mussels and other aquatic invertebrates. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63907721/900,"NA,EU,AS",Black,Bucephala clangula,Anseriformes,Anatidae,Ducks,Lakes and Ponds,Aquatic Invertebrates,Cavity,Surface Dive,Low Concern,"The male Common Goldeneye adds a bright note to winter days with its radiant amber eye, glistening green-black head, and crisp black-and-white body and wings. The female has a chocolate brown head with the same bright eye that gives this species its name. These distinctively shaped, large-headed ducks dive for their food, eating mostly aquatic invertebrates and fish. They nest in tree cavities in the boreal forest of Canada and Alaska; look for them on large rivers, lakes, and Atlantic, Pacific, and Gulf coasts in winter."
Common Grackle,comgra,"Lanky, fierce-looking, glossy blackbird. A bit larger than a jay; smaller, proportionally longer-tailed and shorter-winged than a crow. Staring yellow eye and long heavy bill (compared to Red-winged Blackbird). Often in flocks with other blackbirds in winter. Forages in fields, scrubby areas, and open woods. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67364561/900,NA,Blue,Quiscalus quiscula,Passeriformes,Icteridae,Blackbirds,Open Woodlands,Omnivore,Tree,Ground Forager,Common Bird in Steep Decline,"Common Grackles are blackbirds that look like they've been slightly stretched. They're taller and longer tailed than a typical blackbird, with a longer, more tapered bill and glossy-iridescent bodies. Grackles walk around lawns and fields on their long legs or gather in noisy groups high in trees, typically evergreens. They eat many crops (notably corn) and nearly anything else as well, including garbage. In flight their long tails trail behind them, sometimes folded down the middle into a shallow V shape."
Common Loon,comloo,"Large-bodied diving waterbird, breeds on floating mats of vegetation on lakes and ponds in the boreal forest. In winter, mostly found on bays and open ocean, singly or in loose flocks. Breeding adults have gorgeous black-and-white patterning. During the winter, plain gray above and white below. Note heavy bill held straight. Dives to catch fish in deep, clear water. Their haunting, yodeling vocalizations are classic sounds of northern lakes and ponds.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63918061/900,"NA,EU",Black,Gavia immer,Gaviiformes,Gaviidae,Loons,Lakes and Ponds,Fish,Ground,Surface Dive,Low Concern,"The eerie calls of Common Loons echo across clear lakes of the northern wilderness. Summer adults are regally patterned in black and white. In winter, they are plain gray above and white below, and you’ll find them close to shore on most seacoasts and a good many inland reservoirs and lakes. Common Loons are powerful, agile divers that catch small fish in fast underwater chases. They are less suited to land, and typically come ashore only to nest."
Common Merganser,commer,"Large duck with a sleek body and thin red bill. Breeding males have a dark green head and mostly white body with peachy blush on underparts. Females and immature males have rusty brown head and gray bodies with a cleanly demarcated white throat. Feeds in rivers, lakes, and large ponds by diving to catch fish. Hardy in winter, often staying as far north as open water permits.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63910971/900,"NA,EU,AS",White,Mergus merganser,Anseriformes,Anatidae,Ducks,Lakes and Ponds,Fish,Cavity,Surface Dive,Low Concern,"Common Mergansers are streamlined ducks that float gracefully down small rivers or shallow shorelines. The males are striking with clean white bodies, dark green heads, and a slender, serrated red bill. The elegant gray-bodied females have rich, cinnamon heads with a short crest. In summer, look for them leading ducklings from eddy to eddy along streams or standing on a flat rock in the middle of the current. These large ducks nest in hollow trees; in winter they form flocks on larger bodies of water."
Common Nighthawk,comnig,"Camouflaged to blend into daytime roosts. Intricately patterned with gray and brown. Often roosts along tree branches or on the ground. Feeds at night on large insects. Watch for them flying under bright lights at ballgames or supermarkets. Distinctive fluttering flight style, with wings usually held in a V-shape between bursts of flaps and maneuvers to snatch insects. Very similar to Lesser and Antillean Nighthawks; note voice and location of white wing patch close to base of primaries. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171540961/900,"NA,SA",Brown,Chordeiles minor,Caprimulgiformes,Caprimulgidae,Nightjars,Grasslands,Insects,Ground,Aerial Forager,Common Bird in Steep Decline,"On warm summer evenings, Common Nighthawks roam the skies over treetops, grasslands, and cities. Their sharp, electric peent call is often the first clue they’re overhead. In the dim half-light, these long-winged birds fly in graceful loops, flashing white patches out past the bend of each wing as they chase insects. These fairly common but declining birds make no nest. Their young are so well camouflaged that they’re hard to find, and even the adults seem to vanish as soon as they land."
Common Raven,comrav,"All black bird with wedge-shaped tail. Larger than a crow with thicker, longer bill. Bill longer than head. Tends to be solitary. Cruises along roads looking for carrion. Inhabits primarily rural areas in open country or forests. Uses variety of habitats including high desert, coast, sagebrush, tundra, and grasslands. To separate from crows, note wedge-shaped tail, more pointed wings, croaking voice, and longer bill. Also, smoother, steadier wingbeats, compared to choppy, faster wingbeats of smaller crows.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63739541/900,"NA,EU,AS,AF",Black,Corvus corax,Passeriformes,Corvidae,Ravens,Forests,Omnivore,Cliff,Ground Forager,Low Concern,"The intriguing Common Raven has accompanied people around the Northern Hemisphere for centuries, following their wagons, sleds, sleighs, and hunting parties in hopes of a quick meal. Ravens are among the smartest of all birds, gaining a reputation for solving ever more complicated problems invented by ever more creative scientists. These big, sooty birds thrive among humans and in the back of beyond, stretching across the sky on easy, flowing wingbeats and filling the empty spaces with an echoing croak."
Common Redpoll,comred,"Small finch fond of colder climates. Petite yellow bill, plump body, and long notched tail. Note small red cap, as well as black face and throat. Males can show pink wash on breast. Irruptive species that moves south in numbers only some years. Breeds in open forests and tundra with willows. Visits feeders; favors nyjer seed. Can be found in large flocks. Sometimes with goldfinches and siskins. Listen for their chattering calls ringing through the desolate winter landscape.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171454191/900,"NA,EU,AS",Red,Acanthis flammea,Passeriformes,Fringillidae,Finches,Open Woodlands,Seeds,Shrub,Foliage Gleaner,Common Bird in Steep Decline,"As energetic as their electric zapping call notes would suggest, Common Redpolls are active foragers that travel in busy flocks. Look for them feeding on catkins in birch trees or visiting feeders in winter. These small finches of the arctic tundra and boreal forest migrate erratically, and they occasionally show up in large numbers as far south as the central U.S. During such irruption years, redpolls often congregate at bird feeders (particularly thistle or nyjer seed), allowing delightfully close looks."
Common Tern,comter,"Medium-sized tern found on open ocean, beaches, and large lakes. Adults have pale gray body and black cap. Bill color differs by subspecies: most have red bill with black tip, but some Asian birds have all-black bills. First-years show dark outer primaries, dark shoulder, and black restricted to back of neck. Similar to Forster's, Arctic, and Roseate Terns. Separated from breeding Forster's Tern by entirely gray upperwings; nonbreeding Forster's shows black ear patch. Somewhat longer-billed and shorter-tailed than Arctic Tern, with paler body. Shorter-tailed and overall darker than gleaming white Roseate Tern. Often found in large flocks, especially in late summer. Gives a harsh screeching call ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/170310831/900,"NA,EU,SA,AS,AF,OC",White,Sterna hirundo,Charadriiformes,Laridae,Terns,Shorelines,Fish,Ground,Aerial Dive,Common Bird in Steep Decline,"Common Terns gracefully row through the sky showing off their long angular wings, and breeding season gray belly, black cap, and red bill. They dive towards the water picking off fish just below the surface. The Common Tern is the most widespread tern in North America, spending its winters as far south as Argentina and Chile. They are social birds, foraging in groups and nesting on the ground in colonies."
Common Yellowthroat,comyel,"Small warbler, olive above with intense yellow throat. Adult males have black masks. Forages for insects, typically in shrubby, wet areas, including marshes, forest edges, and fallow fields. Often hides in thick vegetation. Listen for its ringing ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66117571/900,"NA,SA",Yellow,Geothlypis trichas,Passeriformes,Parulidae,Warblers,Scrub,Insects,Shrub,Foliage Gleaner,Low Concern,"A broad black mask lends a touch of highwayman’s mystique to the male Common Yellowthroat. Look for these furtive, yellow-and-olive warblers skulking through tangled vegetation, often at the edges of marshes and wetlands. Females lack the mask and are much browner, though they usually show a hint of warm yellow at the throat. Yellowthroats are vocal birds, and both their witchety-witchety-witchety songs and distinctive call notes help reveal the presence of this, one of our most numerous warblers."
Cooper's Hawk,coohaw,"Small to medium-sized hawk with relatively short rounded wings and rounded tail. Adults are gray above with pale orange barring below; immatures are browner and streaky. Very similar to Sharp-shinned Hawk, but larger with bigger head. Also note deeper, slower wingbeats. Breeds in forested areas; more common in suburban areas than Sharp-shinned Hawk. Feeds mainly on birds captured in flight. Often stalks feeders in search of prey.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60324921/900,NA,Gray,Accipiter cooperii,Accipitriformes,Accipitridae,Accipiters,Forests,Birds,Tree,Aerial Forager,Low Concern,"Among the bird world’s most skillful fliers, Cooper’s Hawks are common woodland hawks that tear through cluttered tree canopies in high speed pursuit of other birds. You’re most likely to see one prowling above a forest edge or field using just a few stiff wingbeats followed by a glide. With their smaller lookalike, the Sharp-shinned Hawk, Cooper’s Hawks make for famously tricky identifications. Both species are sometimes unwanted guests at bird feeders, looking for an easy meal (but not one of sunflower seeds)."
Costa's Hummingbird,coshum,"Small hummingbird of desert habitats in Southwest U.S. and western Mexico. Compact and short-tailed with a slightly drooping bill. Male has a brilliant purple crown and throat that extends down to a point on each side; the purple coloration can appear black in poor lighting. Females are plainer with greenish back and dingy grayish underparts. Females similar to Anna's Hummingbird, but smaller, short-tailed, and have a drooping bill. Costa's is paler below with less green flecking on belly; its shorter tail is as long as the wings when perched. Anna's tail tip extends below wingtips. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68930221/900,NA,Purple,Calypte costae,Caprimulgiformes,Trochilidae,Hummingbirds,Deserts,Nectar,Shrub,Hovering,Low Concern,"Bright purple feathers drape across the throat of male Costa's Hummingbirds, sticking out wildly to each side, like an overgrown mustache. Males show off their purple colors for females, which are dressed in green with a pale eyebrow and a whitish belly. The male loops around her and dives in broad U-shaped patterns while give a high-pithced whistle. These hummingbirds are at home in the baking heat of the Sonoran and Mojave Deserts as well as in the cooler air of coastal scrub."
California Scrub-Jay,cowscj1,"Attractive jay of oak woodlands, dry scrublands, and oak-tall pine woodlands. Royal blue above with gray-brown back and light grayish underparts. Flight style is often distinctive, a series of quick wingbeats followed by a stiff glide. Typically in small groups. Listen for their scratchy, nasal calls. Regularly visits backyards and feeders. Western Scrub-Jay was split into two species: California and Woodhouse's Scrub-Jay. Woodhouse's Scrub-Jay, which is duller and less contrasty is found east of the Cascades and Sierra Nevada.



",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70582301/900,NA,Blue,Aphelocoma californica,Passeriformes,Corvidae,Jays,Scrub,Omnivore,Tree,Ground Forager,Low Concern,"The “blue jay” of dry lowlands along the Pacific seaboard, the California Scrub-Jay combines deep azure blue, clean white underparts, and soft gray-brown. It looks very similar to the Woodhouse's Scrub-Jay (they were considered the same species until 2016), but is brighter and more contrasting, with a bold blue breast band. The rounded, crestless head immediately sets it apart from Steller’s Jays. These birds are a fixture of dry shrublands, oak woodlands, and backyards from Washington state south to Baja California."
Dark-eyed Junco,daejun,"Sparrow with incredible variation between populations. All have short pink bills and white outer tail feathers. Often in flocks in winter, foraging on the ground for seeds. Visits feeders. Subspecies include: Slate-colored (widespread), Oregon (West), Pink-sided (Rockies), Gray-headed (Rockies), Red-backed (central Arizona and New Mexico), and White-winged (Colorado in winter).

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66115711/900,NA,Gray,Junco hyemalis,Passeriformes,Passerellidae,Sparrows,Forests,Seeds,Ground,Ground Forager,Low Concern,"Dark-eyed Juncos are neat, even flashy little sparrows that flit about forest floors of the western mountains and Canada, then flood the rest of North America for winter. They’re easy to recognize by their crisp (though extremely variable) markings and the bright white tail feathers they habitually flash in flight. Dark-eyed Juncos are among the most abundant forest birds of North America. Look for them on woodland walks as well as in flocks at your feeders or on the ground beneath them."
Double-crested Cormorant,doccor,"Dark body with orange bare skin at the base of the bill. Breeding adults are all black. Immatures and nonbreeders have paler breast. Dives underwater to catch fish. Swims like a duck in between dives. Finds open perches to spread wings and dry feathers. Can be in large flocks or solo. Most widespread cormorant across U.S. and Canada; also most likely to be seen inland. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66027281/900,NA,Black,Nannopterum auritum,Suliformes,Phalacrocoracidae,Cormorants,Lakes and Ponds,Fish,Ground,Surface Dive,Low Concern,"The gangly Double-crested Cormorant is a prehistoric-looking, matte-black fishing bird with yellow-orange facial skin. Though they look like a combination of a goose and a loon, they are relatives of frigatebirds and boobies and are a common sight around fresh and salt water across North America—perhaps attracting the most attention when they stand on docks, rocky islands, and channel markers, their wings spread out to dry. These solid, heavy-boned birds are experts at diving to catch small fish."
Downy Woodpecker,dowwoo,"Tiny. Widespread and familiar woodland resident and backyard visitor. Its black-and-white plumage is nearly identical to larger Hairy Woodpecker, but note short bill (shorter than the head) and black markings on white outer tail feathers. Readily visits feeders, especially for suet. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60397941/900,NA,Black,Dryobates pubescens,Piciformes,Picidae,Woodpeckers,Forests,Insects,Cavity,Bark Forager,Low Concern,"The active little Downy Woodpecker is a familiar sight at backyard feeders and in parks and woodlots, where it joins flocks of chickadees and nuthatches, barely outsizing them. An often acrobatic forager, this black-and-white woodpecker is at home on tiny branches or balancing on slender plant galls, sycamore seed balls, and suet feeders. Downies and their larger lookalike, the Hairy Woodpecker, are one of the first identification challenges that beginning bird watchers master."
Dusky Flycatcher,dusfly,"Dull grayish flycatcher, very similar to other flycatchers, especially Hammond's and Gray. Generally grayish with green-tinged back and pale yellow wash on belly. Wingtips shorter than Hammond's Flycatcher and typically found in brushier, more open habitats such as forest edge, but not as open and sparse as Gray Flycatcher. Listen for classic “bean-dip” call as well as dry ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39407511/900,NA,Gray,Empidonax oberholseri,Passeriformes,Tyrannidae,Flycatchers,Open Woodlands,Insects,Shrub,Flycatching,Low Concern,"In mountains and foothills of western North America, Dusky Flycatchers are unobtrusive little songbirds of open coniferous woodlands, aspen groves, chaparral, and scrubby or streamside thickets. Olive-gray above, with a bold eyering and two wingbars, Dusky wears the classic markings of an Empidonax flycatcher and can be hard to distinguish from other species. Dusky Flycatchers forage for flying insects but stay fairly low in the vegetation, frequently giving a short, sharp wit call."
Eared Grebe,eargre,"Small body with very thin bill. Head is peaked over red eye. Breeding adults have yellow whiskers on cheek for a fan-shaped patch, black back and mostly dark brown body. In winter, they have a gray body with a black cap, dusky wash across white cheek, and smudgy gray neck. Often in middle of large, open bodies of water.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/164000111/900,"NA,EU",Brown,Podiceps nigricollis,Podicipediformes,Podicipedidae,Grebes,Lakes and Ponds,Aquatic Invertebrates,Floating,Surface Dive,Low Concern,"The most abundant grebe in the world, the Eared Grebe is a small waterbird with a very thin bill and a bright red eye. In the summer months, golden wisps fan out from their cheeks as they dance and run across the water courting. They breed in colonies in shallow wetlands in western North America and head by the hundreds and thousands to salty inland waters to feast on brine shrimp before heading farther south. In winter, they lose the golden wisps, turning gray and white."
Eastern Bluebird,easblu,"Adult males are striking royal blue above with bright orange throat and breast and bright white belly. Females are paler overall; grayish with orange on breast and sides of neck, and white belly. Favors fields and open woods. Often in small groups. Frequently perches on wires or fence posts. Nests in cavities. Listen for its soft, chortling calls.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63740061/900,NA,Blue,Sialia sialis,Passeriformes,Turdidae,Thrushes,Grasslands,Insects,Cavity,Ground Forager,Low Concern,"Most of the country drives during an eastern North American summer will turn up a few Eastern Bluebirds sitting on telephone wires or perched atop a nest box, calling out in a short, wavering voice or abruptly dropping to the ground after an insect. Marvelous birds to capture in your binoculars, male Eastern Bluebirds are a brilliant royal blue on the back and head, and warm red-brown on the breast. Blue tinges in the wings and tail give the grayer females an elegant look."
